"username","description","verified"
"northcoastblog","Based in Ohio. You can find me on Post here - https://t.co/oIH2TUS544",FALSE
"HeatherGuffeyh","bio.... ummmm.... I don't have time for stupid, mean people. No time for 45ers. No time for hate. Vaccinate for the love of humanity. You do you boo. No DMs.",FALSE
"EllynThomps","Wife, Navy Mom, Army Daughter. Puppy Mom, Politically Cranky Computer Nerd Always interested in (POLITE) opinions. Be kind.   @Post , @Mastodon",FALSE
"SadandMadUSA","Fearless DEFENDER OF DEMOCRACY THAT MY ENTIRE FAMILY SERVES/  PRIDE IN COUNTRY, FAMILY AND VETS/COME FROM A LONG LINE  OF MILITARY IN A SUPER LARGE FAMILY.",FALSE
"TheUnderBitch","im no angel im no saint but i know my Lord Jesus Christ is great",FALSE
"johnram77646935","auto mechanic, uber driver.  raising my 3 kids. trying to leave this world better than I found it. volunteers, acts of kindness. Happily divorced. 😏",FALSE
"UniquelyCullen","I take a mindful approach to sustainable progress and think the “good ‘ole days” were complete shit. Blocked by @jennaellisesq! Support the @NAACP",FALSE
"GoGreen08","Proud Member of the #Resistance |#BlueTsunami | #TheResistance | #FBR| #VoteBlueNoMatterWho|#TeamDem|#Equalityforall|#IStandWithBiden",FALSE
"Lapos77","Mom, Lawyer, Lover of Democracy",FALSE
"BluesyArc284","CA $BluesyArc Chime $DanJohnson ✝️☮️♉️🏳️‍🌈🇺🇸Xbox: BluesyArc206654 #RaysUp #GoBolts #ChampaBay #GoBucs",FALSE
"seekverdad","99th Percentile Republican...99.9th Percentile Resistor...#resist @teri_kanefield,@jennycohn1,@DevinCow, #HandMarkedPaperBallots ✍️  field@mstdn.party",FALSE
"kate626","#RBGLivesOnInUS #resistance #LGBT Liberal Democrat #SaveOurDemocracy",FALSE
"darant3","Grandfather, Father, Truly American, Humanitarian for truth, justice, and the American way!",FALSE
"Mariah2732","Democrat🌊🌊🌊🌊🇺🇸🌻
BlueWave2024 🌊 Biden/Harris🌊 ⚠️🚫DM'S⚠️🚫MAGA🚫",FALSE
"KristeKline","School bus driver,neccessary trouble maker",FALSE
"my_observation","Supports equal pay, fair taxation, affordable healthcare,  women's rights & President Obama.  Do not add me to a list.  No DM's please.",FALSE
"louwanda558","It's a choice to make, to choose to go towards the Light.",FALSE
"AnAnAmA_lee","",FALSE
"teresashaffer19","Democrat with a warped sense of humor. Cat lover. Hater of all things trump. No DM’s please.",FALSE
"guacamowa","""""…Trump…and supporters, are a clear and present danger to American democracy."""" -Judge Luttig. Creative for work & play. Progressive D. Married 30+yrs 💜",FALSE
"JAlford1493","Seeker of truth, Lover of nature, Trying to understand the meaning of life and why we exist as the dominant species. Highly Opinionated.",FALSE
"janellebowen","I love the power rangers, Star Trek, Star Wars, Colorado Avalanche, Avangard and Uncle Bob Hartley",FALSE
"rocits","🟢 #TheClimateBook #FridaysForFuture
🟢  #ClimateAction #XR  
🟢#ClimateJustice 🟢",FALSE
"Framedsgncr","owner of Frame Designs, Hungarian descent, artist and jewelry maker",FALSE
"twithappens34","An American who believes in Democracy  & trusts science.",FALSE
"RepublicansHat2","Love America & democracy. Pro Inclusion, voting rights. Anti  GQP fascism, racism. Pro choice. Pro workers. Pro veterans. No DMs.",FALSE
"KEB8A","",FALSE
"NeckesJanice","From Brooklyn, NY, first generation American, parents Holocaust survivors thus I am a survivor. Relocated to Miami, rebirth..Scorpio is the phoenix. Namaste",FALSE
"KarrelsSusanne","Mom, grandma (GiGi), she/her
BLM, LBGTQI ally, PROUD NEVER Trumper, Progressive liberal,
Prefers animals to most people,
fully vaxxed,
NO DMs!!!!",FALSE
"Ellie10293","I'm a woke & learning every day human being. I am passionate about justice, the planet, and helping others. I have no filter but I am respectful towards others.",FALSE
"Irene_X_Adler","AML • Nasty lass • T1D • Independent soul, fascism is not welcome here • Tweets (opinions) my own • #DemocracyIsWork #BeKind ✊🏽🇺🇸🏳️‍🌈🏳️‍⚧️",FALSE
"LaurieSpoon","Let’s not play games-if you are part of the Trump Cult, a Musk Fan Boy,election denier/insurrectionist,racist,DeFascist fan,homophobe,antiSemite-get lost.",FALSE
"EsteeCane","",FALSE
"BhansheeDarrin","Wannabe game designer; slave to procrastination.",FALSE
"long_vreeland","Life long learner & Biden Supporter",FALSE
"InetteDishler","Retired Learning and Development professional at UC Berkeley; https://t.co/QilIeSvWdI…",FALSE
"hcrates","",FALSE
"KrazyKate0000","No DM's! 3 be the things I shall never attain:
Envy, content,& sufficient champagne.
3 be the things I shall have till I die:
Laughter,hope,& a sock in the eye.",FALSE
"nahm315","Strong, independent, elevated woman and loving mother.  I am fighting for a more evolved and loving planet. We are One!!
 #BidenHarrisToSaveAmerica 🇺🇸",FALSE
"darbyfamilySH","💙 ☘️ 🧚‍♀️ 
 Love our 🌎
 Love my Family
NO DM'S PLEASE",FALSE
"theonlytruq","Obama is the best. Silly you if you feel different!!",FALSE
"Scentsible3","#StrongerTogether,  Married, No DM!!!",FALSE
"norockunrolled","I love cats/dogs/all animals, they have beautiful hearts & souls. I am always Me, I can't be anything else, YES that includes being a Smarta$$💙🌊🌹🌻NO magats",FALSE
"HomenGarden16","Homes and gardens😁",FALSE
"OklaEsq","Woke, VACCINATED Oklahoma Attorney, Certified Teacher, Liberal, #Resister, #Blue in a Red State, BLM, Sarcasm is life.",FALSE
"bluskyz16","https://t.co/eHmCvYkOcZ",FALSE
"terri_bythesea","I stand with Ukraine! We are now a 1 party country as the GQP is an anti-American criminal enterprise. I am proud of the job our president is doing!🌊🌊🌊🌊🌊",FALSE
"fireworkbonnie","Proud Democrat, (former Republican), Registered Nurse. Love family, country living, cats and dogs.",FALSE
"leap441","Steadying the ship - Leadership. Empathy. Advancement. Progress.  #BuildBackBetter

On Mastodon with same handle.",FALSE
"gemisura","Resist activist, Husband, Father, Web Master (Jack of all web trades), tech geek, gadget junkie, science lover, traveler.",FALSE
"RomanJoySays","Joyous Humanitarian*Believer of Miracles*Animal Lover*Diversity & Equality advocate*Bilingual*Laughter Heals*  Opinions are MY OWN* ❤PR, FL, NY ❤🐕🇵🇷🇺🇸",FALSE
"Jenn9925","🇺🇸#Resist🌊 #BidenHarris2020🌊 Semi retired law enforcement officer with 15 years exp... that is socially conscious, and an ACLU member in #TheATL-Tikkun Olam",FALSE
"JaneSepmeier","Native NW Floridian...Beaches of the Gulf Coast are my spirit animal ...",FALSE
"jphilli88","Lifelong Democrat-U Southern California Law Alumni-Former atty NY/LA law firms/20th C Fox-Ex SF-Wishing everyone 🙏 but no DM’s, not able to respond. Thank you.",FALSE
"angry_gammy","Mom/Grandma ❤️🐈&🐕 NY then-NC now.   🇺🇦GodBlessUkraine🇺🇦 #GetVaxxedBoosted",FALSE
"reubjr07","",FALSE
"CarGofan","Maui No Ka Oi.  🇺🇲🇵🇷🇵🇹",FALSE
"jcstaton1","dad, husband, lawyer, coach, Democrat, #teamjoe,#Biden2020,#resist",FALSE
"LargeBrownGuy","I love to engage in everything from politics to the sciences. Follow me if you want a curated progressive look at US politics! Oh and also, GO GATORS 🐊!",FALSE
"MaggieRasmusse2","Always remember to smile and laugh at least once a day.
We are the caregivers of all the creatures on earth.
Norsk/American 🇳🇴
Ukraine 🇺🇦 🌻",FALSE
"JaraWilliams3","Mother of 3 grown children.  Real Estate Investor.  Democratic Socialist. Named after a Celtic Goddess and raised by a Mason.",FALSE
"kristiwelshies","Surgeon. Animal lover. Avid reader. Mommy to my two naughty welsh springer spaniels, Dylan and Jamie. Hoping for a BLUE WAVE to right what is wrong.",FALSE
"Stefani65818446","love beagles, bengal cats and democracy",FALSE
"TalexanderSteff","Grouchy old man. Empathy is a good thing, get some. Grew up in Dakotas. Been a lot of places. Seen a lot of 💩. Disabled veteran. Retired RN.",FALSE
"MsHummingWay","Retired & Proud to be Democrat. 🌊  Artist 🎨 Naturalist 🍊 Nature 🦉 Music 🎶  Movies 🎬  Spiritual 🎆  Loner 😊 ---  No Trumpers 🚫 No DMs! 🚫",FALSE
"Tropicando","Caveman of the Holocene. Sci-Fi fan, Aerospace Technology liker. Josie McCoy & Daphne Blake fan. I sell LOST t-shirts at:
https://t.co/FVBtMg2OUD",FALSE
"Dean_Camron","Does NOT engage with MAGA & Q. First indication = Stop & Block.",FALSE
"hapydaiz","Love is Love 💋 #LFGSD #FriarFaithful #HungryForMore #BidenHarris #BLM #GoodTrouble #TimeToShine #VoteBlue",FALSE
"WATUPWITDAT4","27yr Army Retired Officer & Hardcore Democrat. Don't Get Stuck on Stupid! I Support Proven Leaders, Period! Straight Up, No Chaser, Not Shaken, Nor Stirred!",FALSE
"SarahLynn2390","Politics, Animals, Nature, Vegetarianism...etc.
NO DM's PLEASE!",FALSE
"ashleyroybal","Fashion Designer/Brand https://t.co/C7QJaDrTr2 fka Ashteroid☄️ LithiumProject/ElectricalEngineer/Realtor/Construction&EngineeringCo. https://t.co/ZyFCl0PfSG",FALSE
"BewitchingTales","Lover & protector of all things furry. Vegetarian. Writer of scary books, but just a cream puff at heart. No DM'S. 🌊💙🌊",FALSE
"mhiatt11","",FALSE
"626_6272","",FALSE
"FurForceFive","🇺🇸 PATRIOTS #VoteBlueToSaveDemocracy 
ETHICS, INTEGRITY, DEMOCRACY, COMPASSION, SCIENCE, RULE OF LAW,  #VotingRights 🇺🇸🌊
Eat yer veggies, not animals.",FALSE
"FlaGirlInThePNW","Her now….it is. Eric the Actor is the GOAT 💙",FALSE
"rjcavcctx","My Book
FIVE MILES DEEP,  is a short 99c book about what caused a 13 year long drought. Amazon ebook, Kindle app  is free. 👀",FALSE
"thedreadedaw","Follow a ton of people (some bots?) cuz I'm nosy like that. Don't hunger for power or riches - it is curiosity that gets me out of bed.",FALSE
"chinwind1","One of the founding members of Antifa. Public enemy of the GQP. Despiser of Faux Spews. 🏳️‍🌈🏴‍☠️🌈💙💙💙",FALSE
"CWA1102Striker","NY Union Guy & Canna Enthusiast for 40+ years ☺",FALSE
"Kacey06299844","Happy mom and grandma. Love dogs, gardening, beach time, reading, crafts. Ready to turn Florida Blue! Supports BLM, LGBTQ, Women’s Rights, Gen Z.",FALSE
"ilovefooddiet","Suffering from PTSD- President Trump Sickness Disorder. #Resist, #moscowmitch, #VoteThemOut, #FBRParty, New Yorker, Mom, Real Estate Broker,",FALSE
"Minervasbard","Here To bear witness & record this dark time in US history. 8$ verified Middle Aged Gardener of Oddities",FALSE
"agavecorn","Nurse, my wonderful son, Nature Freak, Art & Antiques & Architectural Seeker, JESUS/People Loving Gal! Liberal Democrat! #TheResistance #ClimateAction",FALSE
"BrowardSocial","The Broward Social Network is a youth mentoring company which uses professional and political platforms through social media.",FALSE
"jamaycanprinces","Mom~wife~ Always rep 🇯🇲🇯🇲 Sarcastic but love for everyone I post some of everything. never know what you will get 🤷🏽‍♀️ #DC4L #DALLASCOWBOYS 🌊🌊🌊",FALSE
"dingmanschoice","",FALSE
"KAFearless","""""Do not say a little in many words but a great deal in a few."""" -Pythagoras. Slava Ukraine! No man is above the law. Be kind to animals. VOTE! #JusticeMatters 🌊",FALSE
"dolfan1139","",FALSE
"Batvan82","🌊🌊🌊 Lokah Samastah Sukhino Bhavantu 🧘",FALSE
"sharkyrae","I’m a shark advocate; ask me about them! BLUE DOT. Old soul. Opinionated. Ocean lover. Passionate playwright.. ambivert, and many other adjectives.",FALSE
"MightyKreskin","Make no mistake. I'm not a nice guy.",FALSE
"PMaryTimo1","Right-wing, Logical, Jesus-freak chick.",FALSE
"veeraj3103","👨🏽‍💻 👪 Tesla freak. Space(X) enthusiast.Dreamer for Eco-friendly future. Dreamer of a world devoid of Hatred.",FALSE
"Johnt731","#YangGang, always thinking of the good times with Great friends, with more to come.",FALSE
"BBbmarsh","Democrat 
Mom 
IBEW #UnionStrong #VoteBlue
#Resistance
Voracious consumer of information. Lists=Block🚫
Q crazies = 🚫
🚨No DMs🚨",FALSE
"bob_levitt","Grandfather, husband, dog guy, Cleveland and Ohio State sports fan, #resist",FALSE
"cindylazarus47","Staunchly in favor of puppies and Tab.",FALSE
"NikkiLy82507027","",FALSE
"BronzyBlazed","Father, husband, musician,
artist, photographer, chemistry, inks, colors. •
#BlackLivesMatter •
Biden/Harris • #ForThePeople",FALSE
"rivercityranda1","Just an old Hillbilly from Ohio in Las Vegas now. Vietnam Vet & Retired Military. Remember we all R just passing Thru. Be Kind and let the A$$holes know U know.",FALSE
"EC_photos","Wife | Dog Mom | Healthcare worker | Wildlife Photographer",FALSE
"ResistKochPutin","Save our democracy! 🌊 Resist the CNP, #KochNetwork & TOC’s control of the Republican Party! Campaign Finance reform & voting rights! Expand the SCOTUS!",FALSE
"OBeesBFF","I'm a huge fan of anime, Dynasty Warriors, Final Fantasy, Alien, and Predator.",FALSE
"samwisbey","",FALSE
"malelit1","In order to prove that primitive Communists can also be produced from the proletariat, China cruelly persecuted me and took all my money away.",FALSE
"Speedy_Tomato","Cashapp $JanetRingstaff
https://t.co/aBXbDy55T9
Paypal: ThatTomatoPerson@Gmail.com

#TeamHumanity
#SlayFam",FALSE
"aussieg60027678","History nerd with Masters Degree",FALSE
"jerseyshore00","Entrepreneur #StopTheHate - #monkey  👹#BallzDeep #FightdaPower #Jerzey  #HallandaleBeach #LGM  #420- the struggle is real- #nomakeupmonday💄breaker of chains",FALSE
"Irishmn60","#FBR #GOPSeditiousTraitors. #TrumpVirus #WearAMask #GOPBetrayedAmerica #GetVaccinated #DumpDeSantis #DrCole",FALSE
"sleddogwatchdog","Advocacy for #sleddogs who suffer for/die from @TheYukonQuest #SLAVEdog race @CBCyukonQuest @AnimalAbusers #BaniditQuest 💉💉+💉💉💉😷 🌊 🐕🐈",FALSE
"zoobies","✬ Keeping it real since '92 ✬ Online Now ✬ 
✬ IG: ktu2.0 ✬ TikTonk: ktu3.0 ✬ Twitch: ktu999 ✬",FALSE
"janny_mous","mom of 5/ grandmother/homecareworker/volunteer GGZEindhoven/CPTSD/Fuck FvD & PVV/ #BlackLivesMatter/ Refugees welcome/Be kind/🇪🇺/🏳️‍🌈/🇺🇦/No Lists",FALSE
"Runmorenow","Art, Illustration, Running, Bicycling, Gardening",FALSE
"janekdye","As a Certified Holistic Health Coach, I help clients create a personalized road map to health that suits their unique body, lifestyles, preferences and goals.",FALSE
"eliza_shines","Online activist since 04, previous Graphics Comm Union. Working 4 poor, enviro, labor, #singlepayer & better PTSD treatment. Endo survivor #VoteBlueEveryTwo",FALSE
"Qwarktastic2","💉Democrat, Resistance, Union Insulator, Soccer Coach, Father + Grandfather,  DEAD HEAD #PA01
5 for 5 Philadelphian
LGBTQ advocate🌈
https://t.co/z0QKjxxUNQ",FALSE
"CarylHill11","Proud Grandma and Mom VoteOutTheGOP BLM BidenHarris WeTook Out The Trash  NO DM's
🌊🌊🌊💙 President Biden",FALSE
"VickieBouska","I am an ardent activist hoping to make a difference",FALSE
"Treehuggr_","Wife, MOM, Bibliomaniac, ACTIVIST, Disc golfer, herbalist, SCA, RESIST, D&D, geocacher, Ascending, wlw, ProChoice, LIBERAL, Vegan, Ginger. Vote Blue!",FALSE
"BillSelznick","Book: The Color of Law. Movie: 13th.  
My pics except retweets.  Vaxxed X 5. (He/Him) https://t.co/S1HAJxglPK",FALSE
"CALLAWAY09","I love politics, plants, animals of all types, the ocean, the stars, justice and life. Arn't we lucky?",FALSE
"johnjoechad","Meanwhile, the looting of the citizens continues unabated",FALSE
"Paul84867215","Average independent guy. HS grad  loves animals, retired",FALSE
"BrockXDalton","IT Sales/Recruiter always looking to keep everyone employed #hiring #recruitment #jobseekers #jobs #remotejobs Yankees  NC State",FALSE
"alucard1116","Conservatives are scared of my words",FALSE
"JennyDinVa","Animals/Teamwork/Integrity/Honesty/The Golden Rule 🌊 Cooking/Blues/Jazz/KIVA/FeedMore/VISTA/#StandUpSpeakOut/#Resist. Mastodon  ▶@JennyD@toad.social  ◀",FALSE
"cynthiamt123","",FALSE
"JustinYselonia","Floridian, Democrat, Autistic. #MSDStrong #TFJ #EndGunViolence High on Hopium! Proud constituent of President Joe Biden! #GetVaccinated #PersistOn🇺🇸",FALSE
"tsdayna","Owner and operator of Broken Sound Entertainment, LLC",FALSE
"NYchamps27","#DemCast #DemCastFL  Born and raised in NY/NJ.
I’m a blue dot in Florida #TrumpIsACriminal
Women's Rights NOW! 
A DM or LIST will get you blocked!",FALSE
"Socaldiced","Made in 🇲🇽- Immigrant. Hijo de Be’ena’ Za / Wixáritari. My ancestors wildest dreams. ✊🏾 Tweets/thoughts r my own.",FALSE
"RebeccaAnCampos","Retired/Former Ad Exec/3rd gen 🇺🇸/San Jose born/Lived in Firenze, Boston, San Francisco, Campbell/SCU Bronco/Dogs/Travel/Food/Art/Politics/Justice/Democrat/",FALSE
"dlaganaronestor","Won’t rest until Trump and his ilk are incarcerated",FALSE
"catebrady","Longtime tech entrepreneur focused on healthcare, MPH student @GWU. Musician, mom, antiracist, proud Scot",FALSE
"1FreshTake","#BestofTwitter❤️/
#RTs 🚫#Endorsements/#Resist💪/#BLM✊/#followers: @teapainusa, @realtuckfrumper,@funder,@mmpadellan,@safetypindaily, @OccupyDemoctrats",FALSE
"LManning85","Administrative Support Assistant III & Agreement Portal Coordinator at University of Florida at UF Innovate | Tech Licensing",FALSE
"timmyb72","I'm the scary Progressive Liberal your RW friends warned you about and a HUGE lifelong New York Yankees, Dallas Cowboys and Purdue University Football/BB fan..",FALSE
"CNDiVito","Interior Designer: Virtually & Tampa Bay Area | Vintage Meets Modern | Garden Life | Wine Lover | Pom Mom | #Bernie2020 🔥| #MedicareForAll",FALSE
"WendiARussell","the American Dream is killing the world - re-think capitalism; redistribute wealth; my cat is cooler than I am🐈‍⬛ #MedicareForAll #UBI #DonateLife",FALSE
"Artis_Elemental","Artist/Photog/Designer/Animal Advocate 🌊💙Country B4 Party,  #Trumpism=☠️ https://t.co/KEezTRhXV8…… https://t.co/UbozMEim1C",FALSE
"dbossaller","We Say Gay, Trans, Bi! NOH8, Equality For All! #teampeteforever",FALSE
"sandy_crooms","Hate trump! Loves ALL animals from the top of mountains to the bottom of oceans. A tree hugger and wants a clean and healthy planet for all beings!",FALSE
"JulieHutto2","Opinions are my own:  VOTE  because Your Life Absolutely Depends On It & VOTE In #'s Too Large to Manipulate! Find me on Spoutible, Mastadon,Post",FALSE
"UFoundTheOne","",FALSE
"Iamfluid","WATER PROTECTOR FOR LIFE, and beyond. Living on Lenni Lenape land. Mni Wiconi. treat all things as spirit. realize we are one family. my thoughts are my own.",FALSE
"peonies12","Mom of two Vets! (Daughter & Son). Lifelong Democrat 
🌊🌊🌊 👠🇺🇲🌈",FALSE
"LisaLisaoja","I'm a bandita.
No DM's please.",FALSE
"robheckman","Former Asst. Program Director and Music Director at WIYY/98 Rock Baltimore.  Now retired.  What's next?",FALSE
"Pbexpress1Jr","I’m a Nam Vet, 498th”DUST Off Med. Group. When I was dodging bullets,tRump was dodging The DRAFT!! VOTE BLUE WAVE coming!!  🌊🌊😜",FALSE
"StantonsBalls","If U follow me now, that'll be the end of it. I will not look 4 U, I will not pursue U. But if U don't, I will look 4 U, I will find U & I will Unfollow #resist",FALSE
"RealCryptoQue","First Infantry | 7th Group Expeditionary | UCONN | ΩΨΦ

Multi-Asset Class Investor 

#Bitcoin Only

Rogue Crypto Warrior
 
Mod: @CryptoKenzie's Crypto Culture",FALSE
"Pegasus2077449","Marine Veteran, private pilot, Grandfather. Fully #BlueCrew #TaxTheRich. #FuckTrump. #drcole #FBR #RESIST #DemsAct1 #BetoForGovernor",FALSE
"antjelex","",FALSE
"GoProGirlMiami","BrandAmbassador/ event staff/
gopro📷/Team Ultra Endorsed Athlete 2020/21
🏃
 IG @goprogirlmiami / 
BA 👉@press01 @hydropocket @fitletic  
@hoka Flyer18/19",FALSE
"RckyMntLuv","colorado native, florida resident, prolific tweeter / RTer, & photobomber. and ma to 2 of the world’s most phenomenal human beings.",FALSE
"Chad_Anderson_1","Official Twitter for Chad Anderson - Former Drummer for @fromtheseruins 
Plays: @SilverFoxSticks @pearl_drums @dwdrums @sabiancymbals_official @evansdrumheads",FALSE
"bradwilliams69","",FALSE
"coryelizabeth1","",FALSE
"hotellasvegas_","Please feel free to read, follow, like, retweet, DM or otherwise interact in whatever way you please. :) https://t.co/CE9cqA1QIn  All rights reserved",FALSE
"Emma_alvarez24","“Humanity is OK, but 99% of people are boring idiots”. - Slavoj Žižek",FALSE
"Aschef2","🌈💪🏻🐶😽",FALSE
"maramcgregor","Ace. she/her. D&D player. Xoloitzcuintli enthusiast.",FALSE
"DeeGib","Healthy change & honesty are necessary for positive growth. VOTE BLUE all the way down ballot - for decades! Stop MAGAs destruction of our democracy.",FALSE
"Peace_NH","Retired educator,Hiker, Runner, Organic, Political Junkie, Volunteer, Lover of Nature",FALSE
"lotusghost","",FALSE
"shira_wintner","ProChoice, AntiCorruption, GunReform, ClimateChangeNow, BlackLivesMatter, SaveOurPlanet&Democracy, married mom of 3",FALSE
"OverUnderClover","Software dev she, serially obsessed

donate to @spreadthevoteus

OK I'M TAPPING OUT
Find me at  https://t.co/kGS86fmQuR",FALSE
"digitalgypsie","#husband, #father, #grandfather, #USArmyVeteran",FALSE
"barblet30","I love libraries & the Saskatchewan Roughriders & Fionn, a Welsh Pembroke Corgi. BA in Women’s & Gender Studies, English Lit minor. Progressive Christian.",FALSE
"ruthsrevenge1","#ProChoice #Resistance #VoteBidenHarris #BLM #Democrat Dogs Rule, Lifelong Democrat #NoJusticeNoUnity #StandWithUkraine #ABORTtheGOP",FALSE
"SCAM518","",FALSE
"MSophia4","The ground on which we stand is sacred https://t.co/TtgACodEVh is the blood of our ancestors.    CROW",FALSE
"Janetdennie1","",FALSE
"s19928362","Life long Republican until 2016. Could not find one single reason to vote for 45. Obsessive fan of Queen!!",FALSE
"TheProgPedant","Challenging conservative propaganda since 1993",FALSE
"robbie71w","Ranch raised in TX, NM & AZ, Texas A&M '02, glorified oil checker at a gas plant, saddle ornament, cattle feeder, I rope calves like an old fat lady, agvocate",FALSE
"DujardinLoralee","just about as far left politically one can be",FALSE
"EhgYaytzo","🇺🇸  A⚔️A⚡🌊",FALSE
"dawn6924","#CountryBeforeParty #SpeakTruthToPower #SeparationOfChurchAndState No DMs",FALSE
"ValorieEs","A true Leo. Chicana. Still weak knees for eye winks. Boss. Lover. Will not go high if you go low. “I’m the random minor note you hear in major songs”",FALSE
"BonafideBro","#TitanUp #ChopOn #MagicAboveAll #VFL  Served in a combat zone and lived to tell about it.",FALSE
"SarahTheWoodDuk","Est. Dec 2020. Small, woman owned Gift Shop. I found it to be a suitable way to earn an income while managing life with PTSD.",FALSE
"sundaydriver79","Still making my way through the city...",FALSE
"CristineAlbanes","All Bunnies! UCLA Bruin and attorney fighting for justice! ⚖️",FALSE
"Anthony10611562","U S Army veteran 73-76. Democratic, retired, Happily Married, enjoy golf. American Legion member for Life. Love traveling",FALSE
"nannieboo","ex republican Texas grandmother",FALSE
"sdeeng1990","",FALSE
"brink5_brink","",FALSE
"marycar1015","",FALSE
"Lil_Sister_","Mother. Author. PTSD Advocate. Severe Child Abuse/Torture Survivor. Kidney Cancer Survivor. WARNING: I cuss a lot. 🙃  $MusicSoothes 6️⃣5️⃣🎹",FALSE
"bloominboom","Las #Vegan 4 the animals 🌱 27 he/him polyamorous, pansexual! love all genres love working at @veginoutmarket❤️ please spread love 💕#govegan",FALSE
"RealFuturePOTUS","I am a faithful Christian who loves Jesus and a proud Democrat. Soon to serve in public office and become your next U.S. President.",FALSE
"pettyking77","New York Times best selling author... GT: Saigon the Chef
nigga/negro dropout from Hogwarts. A monk from Shaolin. #LLKobe",FALSE
"NancyShinabarg4","Mom of 4,  grandma of 7, and great-grandma of 5.  Anti Trump, pro democracy, lifelong Democrat.",FALSE
"ShevlinF","",FALSE
"kale0579","Father, husband. Former Police Officer, Correction Officer, now Laborer for Road Construction. Love my family, my country&all Cle Sports.",FALSE
"JHutchings4","Retired RN , dog lover #resister . Met Joe Biden . #Biden/ Harris. #metoo  no DMs",FALSE
"02Noreen","",FALSE
"bmaya8","Recently retired Lead Emergency Services Dispatcher, totally vaccinated, from Texas (don’t hold it against me) #Go_Beto! turn Texas Blue! Lock Up TFG!",FALSE
"jasm5150","Voices of reason, compassion and truth must RESIST and stand up for those being marginalized. Vote while it still counts 🌎 This blue dot is fading.",FALSE
"RiquelmTammy","",FALSE
"Hooplaoly","Liberal, love politics; follow smart, funny people. Lover of books. #khiveforBidenHarris2020, #oldwhitebroads4Kamala #BlackLivesMatter",FALSE
"siedLUCKY13","pottery hoe (she/her) (all opinions are my own)",FALSE
"gaiabiz","Life time environmentalist, MPH; concerned with misplaced public policy priorities.",FALSE
"MDY_610","Proud woman, crazy wife to an amazing man, devoted mom to 2 awesome teenagers and a real and honest friend to most 😘. Trying to live by the Golden Rule!",FALSE
"XR_BSE","#RebelForLife #MakeEcocideLaw #ClimateJusticeNOW #TellTheTruth #ActNow #BeyondPolitics #NoPlanetB #StopHS2 #WeWantToLive 
FB page: https://t.co/E8bsu2DapE",FALSE
"izumrudinka17","",FALSE
"Smudgetter","🙉speak up against corruption 💪",FALSE
"karldickey","Freedom advocate with a passion for punk rock, general aviation, contemporary art, and antique books. #vegan #writer #Libertarian",FALSE
"SandyGirl4Him","Live in the country with my 2 labs. Chocolate  Navajo & Yellow Tatanka. Married to my best friend. I love BRUCE, ELVIS, The Beatles   🌊🌊🌊 #TheResistance",FALSE
"bozzo1931","",FALSE
"Boatoptional2","Blue originally from Arl,VA.IAmNotOverJan6. https://t.co/2k5Uwom31D",FALSE
"Samanth71999158","",FALSE
"WordsMeanings","He/Him/His. Socialist. Abortion clinic escort. Smoke-free since Nov. 8 2016. Mastodon: Mnam999@climatejustice.social Discord: scribe999#8305 Insta: scribe999",FALSE
"cn_gastineau","Christian, Husband to @JanaGastineau, Father of 3, Tech Nerd, #Water & #Energy #Utilities Account Manager @Salesforce, TKE, ASU | All tweets are my own",FALSE
"GiGiCaponePR","Retired music publicist turned insurance agent. Ask me about Medicare, life or supplementing costs and services insurance doesn't normally cover.",FALSE
"msgigicapone","@GigiCaponePR Owner |Follow  @KWWKRADIO   @placerholisticwellne
@warriordjs",FALSE
"SusanLetournea6","Reformed Republican. Retired educator. I don't suffer fools well!",FALSE
"dicklibertyshow","I am a Creative Designer of Life!",FALSE
"Jan_KraakSD","Environmental Health Safety. UW-Madison Alum             Interests: Safety/Technology/Medical + Cancer Surviver/ MadtownGirl",FALSE
"moonsurface09","#MichaelJackson 
#KingOfPop
#50YearsofMichaelJackson
#MJ",FALSE
"ShigetomiL","Green wonk. Star Trekkie. Dog lover",FALSE
"JenniferD8133","",FALSE
"TrevorWhitehead","@southobrewco 🇦🇺🇺🇸",FALSE
"kennethkrobb79","#NewJersey #HVAC #HomeImprovement Family man and dog lover.",FALSE
"nardreem","full time cyber bully to Ron DeSantis — My tweets are my own",FALSE
"StevenO15314790","Just a binary human that might live in Florida that really just wants to brighten peoples days and crush those who obviously didn't take history in school.",FALSE
"NatsuSanemi","I guess I have to add something in here so people don't think I'm some sorta bot huh? lol I'm just here to read & tweet like everyone else. I follow back BTW.",FALSE
"MBrockman8","",FALSE
"SCOTTYSIMM","I'm Joe Citizen, everything public in America I own, by where I spend my money and the taxes on my home.
11/22/2002
© Scotty Simmons",FALSE
"ThompskeKathryn","#BidenHarris 🗳 YES! I VOTED midterm 2022 (and brought some people with me) 🤗 Blue wave 🌊 Fully Pfizered 💉, BOOSTED, no Covid yet! Mask😷
🚫 No DMs please",FALSE
"delgado_rojelio","Husband, Father, Veteran, Cardiac Sonographer, Progressive Liberal. “Those who can make you believe absurdities, can make you commit atrocities.” -- Voltaire",FALSE
"kittycatgundam","42 years old/single/Super positive and optimisti person/straight/tomboy/she or her/painter/Twitch: Kittycatgundam81/ Instagram: gundamkittycat",FALSE
